"unique_allele_ID","allele_abundance"
"X0585_173",3
"X0585_176",23
"X0585_179",1
"X0585_182",10
"X0585_185",3
"X0585_188",6
"X0585_194",2
"X1490_254",4
"X1490_266",5
"X1490_269",21
"X1490_272",13
"X1490_275",1
"X166_155",1
"X166_161",27
"X166_164",14
"X166_167",1
"X166_173",3
"X181_177",8
"X181_180",9
"X181_183",8
"X181_192",9
"X181_195",10
"X181_201",4
"X182_172",13
"X182_175",19
"X182_178",4
"X182_181",1
"X182_184",1
"X182_190",3
"X182_193",1
"X182_199",2
"X5047_239",8
"X5047_242",4
"X5047_245",19
"X5047_248",11
"X5047_251",6
