"unique_allele_ID","allele_abundance"
"X0513_200",55
"X0513_206",5
"X0513_215",1
"X0513_218",2
"X0513_221",2
"X0513_224",2
"X0513_227",1
"X0585_176",1
"X0585_179",1
"X0585_182",27
"X0585_185",5
"X0585_188",2
"X0585_191",28
"X0585_194",4
"X1195_220",4
"X1195_232",34
"X1195_235",9
"X1195_238",2
"X1195_244",10
"X1195_247",3
"X1490_254",15
"X1490_257",1
"X1490_263",2
"X1490_266",32
"X1490_269",11
"X1490_272",6
"X1490_275",1
"X166_146",1
"X166_152",4
"X166_155",1
"X166_158",4
"X166_161",35
"X166_164",9
"X166_167",5
"X166_170",4
"X166_173",3
"X166_182",1
"X166_191",1
"X181_174",57
"X181_177",4
"X181_180",7
"X182_154",2
"X182_157",42
"X182_166",1
"X182_169",1
"X182_172",2
"X182_178",2
"X182_181",6
"X182_184",2
"X182_187",2
"X182_190",2
"X182_193",3
"X182_196",1
"X182_199",1
"X182_202",1
"X207_173",2
"X207_179",3
"X207_182",3
"X207_185",2
"X207_188",7
"X207_191",10
"X207_194",19
"X207_197",6
"X207_200",2
"X207_203",7
"X207_206",4
"X207_209",2
"X207_215",1
"X2637_264",42
"X2637_267",26
"X5047_227",1
"X5047_230",21
"X5047_233",20
"X5047_236",21
"X5047_239",2
"X5047_242",3
"X6212_243",1
"X6212_246",21
"X6212_249",14
"X6212_252",4
"X6212_258",4
"X6212_261",4
"X6212_264",3
"X6212_267",5
"X6212_270",5
"X6212_279",3
"X6212_282",1
"X6212_285",2
"X6212_288",1
