Author,Year,Title,Species,Population,Genos,Locus_simple,allele,Hexp_report,Hexp_calc,Pr.exact,Hexp_num,Method,Num_loci,Source
Calle-Trivino et al.,2020,Assessing and genotyping threatened staghorn coral Acropora cervicornis nurseries during restoration in southeast Dominican Republic,Acer,Dominican Republic,32,166,11,0.74,NA,NA,NA,microsats,4,
Calle-Trivino et al.,2020,Assessing and genotyping threatened staghorn coral Acropora cervicornis nurseries during restoration in southeast Dominican Republic,Acer,Dominican Republic,32,181,11,0.56,NA,NA,NA,microsats,4,
Calle-Trivino et al.,2020,Assessing and genotyping threatened staghorn coral Acropora cervicornis nurseries during restoration in southeast Dominican Republic,Acer,Dominican Republic,32,182,13,0.87,NA,NA,NA,microsats,4,
Calle-Trivino et al.,2020,Assessing and genotyping threatened staghorn coral Acropora cervicornis nurseries during restoration in southeast Dominican Republic,Acer,Dominican Republic,32,207,13,0.87,NA,NA,NA,microsats,4,
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,166,6,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,181,9,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,6212,8,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,9253,3,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,1195,4,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,207,7,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,182,14,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,5047,6,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,585,9,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,201,8,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,1490,3,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,187,4,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,2637,7,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,7,10,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Yetsko et al.,2020,Genetic differences in thermal tolerance among colonies of threatened coral Acropora cervicornis: potential for adaptation to increasing temperature,Acer,Florida,20,513,3,0.508,NA,NA,NA,microsats,15,"Supplement Table S2, had to manually count # alleles for locus. "
Dominguez-Maldonado et al.,2022,Genetic differences of Acropora palmata populations of the Mexican Atlantic,Apal,"Alacranes, Mexico",8,585,1,0,NA,NA,NA,microsats,5,Main paper
Dominguez-Maldonado et al.,2022,Genetic differences of Acropora palmata populations of the Mexican Atlantic,Apal,"Alacranes, Mexico",8,1490,2,0.4,NA,NA,NA,microsats,5,Main paper
Dominguez-Maldonado et al.,2022,Genetic differences of Acropora palmata populations of the Mexican Atlantic,Apal,"Alacranes, Mexico",8,2637,2,0.525,NA,NA,NA,microsats,5,Main paper
Dominguez-Maldonado et al.,2022,Genetic differences of Acropora palmata populations of the Mexican Atlantic,Apal,"Alacranes, Mexico",8,5047,2,0.325,NA,NA,NA,microsats,5,Main paper
Dominguez-Maldonado et al.,2022,Genetic differences of Acropora palmata populations of the Mexican Atlantic,Apal,"Alacranes, Mexico",8,513,2,0.4,NA,NA,NA,microsats,5,Main paper
